,sample_id,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,DOI,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date
p1k_00820,ytf3__dyieP_pH55__2,yTF 3,ytf3,dyieP_pH55,2,Escherichia coli K-12 MG1655 delyieP,MG1655,Batch,No,M9,37,5.5,glucose,NH4Cl(1),O2,sauer trace element mixture,lactic acid(5),,,,,p1k_00809;p1k_00810,Nova Seq,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/ytf3/YTF_HRS_Ecoli_YieP_HGL_059_S79_L002_R1_001.fastq.gz,s3://precise-db/raw_data/ytf3/YTF_HRS_Ecoli_YieP_HGL_059_S79_L002_R2_001.fastq.gz,Hyungyu Lim,Hyungyu Lim,TRUE,TRUE,TRUE,TRUE,ytf3:dyieP_pH55,TRUE,TRUE,5/21/20
p1k_00826,minicoli__aldA_f1c2__1,Minicoli,minicoli,aldA_f1c2,1,Escherichia coli DGF-298 +aldA,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/demultiplexed_F1C2_355_r1.fastq.gz,s3://precise-db/raw_data/minicoli/demultiplexed_F1C2_355_r2.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:aldA_f1c2,TRUE,FALSE,5/1/19
p1k_00827,minicoli__aldA_minE__1,Minicoli,minicoli,aldA_minE,1,Escherichia coli DGF-298 +aldA,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/demultiplexed_minE_354_r1.fastq.gz,s3://precise-db/raw_data/minicoli/demultiplexed_minE_354_r2.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:aldA_minE,TRUE,FALSE,5/1/19
p1k_00828,minicoli__mg1655_glc__1,Minicoli,minicoli,mg1655_glc,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_MG1655_Glucose_1_S25_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_MG1655_Glucose_1_S25_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:mg1655_glc,TRUE,TRUE,5/1/19
p1k_00829,minicoli__mg1655_glc__2,Minicoli,minicoli,mg1655_glc,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_MG1655_Glucose_2_S26_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_MG1655_Glucose_2_S26_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:mg1655_glc,TRUE,TRUE,5/1/19
p1k_00830,minicoli__minE_cyt__1,Minicoli,minicoli,minE_cyt,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Cytidine_1_S8_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Cytidine_1_S8_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_cyt,TRUE,TRUE,5/1/19
p1k_00831,minicoli__minE_cyt__2,Minicoli,minicoli,minE_cyt,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Cytidine_2_S9_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Cytidine_2_S9_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_cyt,TRUE,TRUE,5/1/19
p1k_00832,minicoli__minE_fruc__1,Minicoli,minicoli,minE_fruc,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Fructose_1_S32_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Fructose_1_S32_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_fruc,TRUE,TRUE,5/1/19
p1k_00833,minicoli__minE_fruc__2,Minicoli,minicoli,minE_fruc,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Fructose_2_S33_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Fructose_2_S33_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_fruc,TRUE,TRUE,5/1/19
p1k_00834,minicoli__minE_glc__1,Minicoli,minicoli,minE_glc,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glucose_1_S28_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glucose_1_S28_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_glc,TRUE,TRUE,5/1/19
p1k_00835,minicoli__minE_glc__2,Minicoli,minicoli,minE_glc,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glucose_2_S29_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glucose_2_S29_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_glc,TRUE,TRUE,5/1/19
p1k_00836,minicoli__minE_glyc__1,Minicoli,minicoli,minE_glyc,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glycerol_1_S9_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glycerol_1_S9_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_glyc,TRUE,TRUE,5/1/19
p1k_00837,minicoli__minE_glyc__2,Minicoli,minicoli,minE_glyc,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glycerol_2_S10_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Glycerol_2_S10_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_glyc,TRUE,TRUE,5/1/19
p1k_00838,minicoli__minE_Fe_starve__1,Minicoli,minicoli,minE_Fe_starve,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Iron_Starvation_1_S12_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Iron_Starvation_1_S12_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_Fe_starve,TRUE,TRUE,5/1/19
p1k_00839,minicoli__minE_Fe_starve__2,Minicoli,minicoli,minE_Fe_starve,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Iron_Starvation_2_S13_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Iron_Starvation_2_S13_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_Fe_starve,TRUE,TRUE,5/1/19
p1k_00840,minicoli__minE_LB__1,Minicoli,minicoli,minE_LB,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_LB_1_S13_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_LB_1_S13_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_LB,TRUE,TRUE,5/1/19
p1k_00841,minicoli__minE_LB__2,Minicoli,minicoli,minE_LB,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_LB_2_S14_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_LB_2_S14_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_LB,TRUE,TRUE,5/1/19
p1k_00842,minicoli__minE_N_starve__1,Minicoli,minicoli,minE_N_starve,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_NStarvation_1_S5_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_NStarvation_1_S5_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_N_starve,TRUE,TRUE,5/1/19
p1k_00843,minicoli__minE_N_starve__2,Minicoli,minicoli,minE_N_starve,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_NStarvation_2_S6_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_NStarvation_2_S6_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_N_starve,TRUE,TRUE,5/1/19
p1k_00844,minicoli__minE_osm__1,Minicoli,minicoli,minE_osm,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Osmotic_Stress_1_S20_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Osmotic_Stress_1_S20_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_osm,TRUE,TRUE,5/1/19
p1k_00845,minicoli__minE_osm__2,Minicoli,minicoli,minE_osm,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Osmotic_Stress_2_S21_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Osmotic_Stress_2_S21_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_osm,TRUE,TRUE,5/1/19
p1k_00846,minicoli__minE_ph5__1,Minicoli,minicoli,minE_ph5,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,5,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_pH5_5_1_S16_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_pH5_5_1_S16_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_ph5,TRUE,TRUE,5/1/19
p1k_00847,minicoli__minE_ph5__2,Minicoli,minicoli,minE_ph5,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,5,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_pH5_5_2_S17_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_pH5_5_2_S17_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_ph5,TRUE,TRUE,5/1/19
p1k_00848,minicoli__minE-pyr__1,Minicoli,minicoli,minE-pyr,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Pyruvate_1_S17_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Pyruvate_1_S17_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE-pyr,TRUE,TRUE,5/1/19
p1k_00849,minicoli__minE-pyr__2,Minicoli,minicoli,minE-pyr,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Pyruvate_2_S18_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Pyruvate_2_S18_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE-pyr,TRUE,TRUE,5/1/19
p1k_00850,minicoli__minE_sorb__1,Minicoli,minicoli,minE_sorb,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Sorbitol_1_S36_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Sorbitol_1_S36_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_sorb,TRUE,TRUE,5/1/19
p1k_00851,minicoli__minE_sorb__2,Minicoli,minicoli,minE_sorb,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Sorbitol_2_S37_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Sorbitol_2_S37_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_sorb,TRUE,TRUE,5/1/19
p1k_00852,minicoli__minE_urid__1,Minicoli,minicoli,minE_urid,1,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Uridine_1_S40_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Uridine_1_S40_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_urid,TRUE,TRUE,5/1/19
p1k_00853,minicoli__minE_urid__2,Minicoli,minicoli,minE_urid,2,Escherichia coli DGF-298,DGF-298,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Uridine_2_S41_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_minE_Uridine_2_S41_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:minE_urid,TRUE,TRUE,5/1/19
p1k_00854,minicoli__W3110_cyt__1,Minicoli,minicoli,W3110_cyt,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Cytidine_1_S10_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Cytidine_1_S10_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_cyt,TRUE,TRUE,5/1/19
p1k_00855,minicoli__W3110_cyt__2,Minicoli,minicoli,W3110_cyt,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Cytidine_2_S11_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Cytidine_2_S11_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_cyt,TRUE,TRUE,5/1/19
p1k_00858,minicoli__W3110_glc__1,Minicoli,minicoli,W3110_glc,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glucose_1_S30_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glucose_1_S30_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_glc,TRUE,TRUE,5/1/19
p1k_00859,minicoli__W3110_glc__2,Minicoli,minicoli,W3110_glc,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glucose_2_S31_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glucose_2_S31_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_glc,TRUE,TRUE,5/1/19
p1k_00860,minicoli__W3110_glyc__1,Minicoli,minicoli,W3110_glyc,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glycerol_1_S11_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glycerol_1_S11_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_glyc,TRUE,TRUE,5/1/19
p1k_00861,minicoli__W3110_glyc__2,Minicoli,minicoli,W3110_glyc,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glycerol_2_S12_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Glycerol_2_S12_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_glyc,TRUE,TRUE,5/1/19
p1k_00862,minicoli__W3110_Fe_starve__1,Minicoli,minicoli,W3110_Fe_starve,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Iron_Starvation_1_S14_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Iron_Starvation_1_S14_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_Fe_starve,TRUE,TRUE,5/1/19
p1k_00863,minicoli__W3110_Fe_starve__2,Minicoli,minicoli,W3110_Fe_starve,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Iron_Starvation_2_S15_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Iron_Starvation_2_S15_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_Fe_starve,TRUE,TRUE,5/1/19
p1k_00864,minicoli__W3110_LB__1,Minicoli,minicoli,W3110_LB,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_LB_1_S15_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_LB_1_S15_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_LB,TRUE,TRUE,5/1/19
p1k_00865,minicoli__W3110_LB__2,Minicoli,minicoli,W3110_LB,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_LB_2_S16_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_LB_2_S16_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_LB,TRUE,TRUE,5/1/19
p1k_00866,minicoli__W3110_N_starve__1,Minicoli,minicoli,W3110_N_starve,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_NStarvation_1_S7_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_NStarvation_1_S7_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_N_starve,TRUE,TRUE,5/1/19
p1k_00867,minicoli__W3110_N_starve__2,Minicoli,minicoli,W3110_N_starve,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_NStarvation_2_S8_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_NStarvation_2_S8_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_N_starve,TRUE,TRUE,5/1/19
p1k_00868,minicoli__W3110_osm__1,Minicoli,minicoli,W3110_osm,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Osmotic_Stress_1_S22_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Osmotic_Stress_1_S22_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_osm,TRUE,TRUE,5/1/19
p1k_00869,minicoli__W3110_osm__2,Minicoli,minicoli,W3110_osm,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,7,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Osmotic_Stress_2_S23_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_Osmotic_Stress_2_S23_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_osm,TRUE,TRUE,5/1/19
p1k_00870,minicoli__W3110_ph5__1,Minicoli,minicoli,W3110_ph5,1,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,5,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_pH5_5_1_S18_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_pH5_5_1_S18_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_ph5,TRUE,TRUE,5/1/19
p1k_00871,minicoli__W3110_ph5__2,Minicoli,minicoli,W3110_ph5,2,Escherichia coli K-12 W3110,W3110,Batch,No,M9,37,5,,,,,,,,,,p1k_00878;p1k_00879,,PAIRED,ILLUMINA,,,,,,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_pH5_5_2_S19_R1_001.fastq.gz,s3://precise-db/raw_data/minicoli/UNK_HRS_W3110_pH5_5_2_S19_R2_001.fastq.gz,Sebastien.Rodrigue@usherbrooke.ca,Antoine Champie,TRUE,TRUE,TRUE,TRUE,minicoli:W3110_ph5,TRUE,TRUE,5/1/19
